9d1426,127.0.0.1,GET,http://127.0.0.1:8000/,1463421253,,200
0c788c,127.0.0.1,GET,http://127.0.0.1:8000/img/slider.jpg,1463421255,9ae2bc,200
9ae2bc,127.0.0.1,GET,http://127.0.0.1:8000/img/slider.jpg,1463421255,,404
106779,127.0.0.1,GET,http://127.0.0.1:8000/img/slider.jpg,1463421256,1aa42c,200
1aa42c,127.0.0.1,GET,http://127.0.0.1:8000/img/slider.jpg,1463421256,,404
3614d3,127.0.0.1,GET,http://127.0.0.1:8000/,1463421260,,200
2489c8,127.0.0.1,GET,http://127.0.0.1:8000/img/slider.jpg,1463421260,bafbca,200
bafbca,127.0.0.1,GET,http://127.0.0.1:8000/img/slider.jpg,1463421260,,404
c5a9dc,127.0.0.1,GET,http://127.0.0.1:8000/login,1463421287,,200
53e226,127.0.0.1,POST,http://127.0.0.1:8000/login_check,1463421292,,302
101ba8,127.0.0.1,GET,http://127.0.0.1:8000/backend,1463421292,,200
419d0a,127.0.0.1,GET,http://127.0.0.1:8000/backend/pago/,1463421308,,200
88ce66,127.0.0.1,GET,http://127.0.0.1:8000/backend,1463421330,,200
53995d,127.0.0.1,GET,http://127.0.0.1:8000/backend/alumno/,1463421334,,200
ef19a0,127.0.0.1,GET,http://127.0.0.1:8000/backend,1463421338,,200
684bc1,127.0.0.1,GET,http://127.0.0.1:8000/backend/cuota/,1463421341,,200
2541a4,127.0.0.1,GET,http://127.0.0.1:8000/backend/cuota/new,1463421418,,200
